freq,psd_x,psd_y,psd_z,psd_xyz,shapers:,zv(129.4),mzv(132.0),ei(108.2),2hump_ei(101.2),3hump_ei(149.8)
41.7,7.869e+02,1.207e+01,1.004e+01,8.090e+02,,0.992,0.989,0.979,0.964,0.970
43.2,8.338e+02,1.511e+01,1.024e+01,8.591e+02,,0.991,0.988,0.978,0.963,0.969
44.7,8.737e+02,1.762e+01,1.260e+01,9.039e+02,,0.991,0.988,0.977,0.961,0.967
46.2,9.334e+02,2.025e+01,1.196e+01,9.657e+02,,0.991,0.987,0.976,0.959,0.966
47.7,9.901e+02,2.149e+01,1.113e+01,1.023e+03,,0.990,0.987,0.975,0.957,0.964
49.2,1.043e+03,1.986e+01,1.121e+01,1.074e+03,,0.990,0.986,0.974,0.955,0.963
50.7,1.089e+03,1.881e+01,1.129e+01,1.119e+03,,0.989,0.985,0.973,0.953,0.961
52.2,1.132e+03,2.018e+01,1.092e+01,1.163e+03,,0.989,0.985,0.972,0.952,0.960
53.7,1.163e+03,2.186e+01,1.033e+01,1.196e+03,,0.989,0.984,0.971,0.950,0.958
55.1,1.214e+03,2.423e+01,1.070e+01,1.249e+03,,0.988,0.984,0.970,0.948,0.957
56.6,1.287e+03,2.562e+01,1.091e+01,1.323e+03,,0.988,0.983,0.968,0.946,0.955
58.1,1.339e+03,2.732e+01,1.127e+01,1.378e+03,,0.987,0.983,0.967,0.944,0.954
59.6,1.389e+03,2.924e+01,1.074e+01,1.429e+03,,0.987,0.982,0.966,0.941,0.952
61.1,1.458e+03,3.324e+01,1.240e+01,1.504e+03,,0.987,0.981,0.965,0.939,0.950
62.6,1.531e+03,3.697e+01,1.235e+01,1.580e+03,,0.986,0.981,0.964,0.937,0.949
64.1,1.610e+03,4.362e+01,1.075e+01,1.665e+03,,0.986,0.980,0.962,0.935,0.947
65.6,1.701e+03,5.421e+01,9.003e+00,1.764e+03,,0.985,0.980,0.961,0.933,0.945
67.1,1.780e+03,6.702e+01,1.026e+01,1.857e+03,,0.985,0.979,0.960,0.931,0.944
68.6,1.870e+03,7.729e+01,1.049e+01,1.958e+03,,0.984,0.978,0.959,0.929,0.942
70.0,1.964e+03,9.057e+01,1.137e+01,2.066e+03,,0.984,0.978,0.957,0.926,0.940
71.5,2.088e+03,1.073e+02,1.202e+01,2.208e+03,,0.983,0.977,0.956,0.924,0.938
73.0,2.199e+03,1.209e+02,1.082e+01,2.330e+03,,0.983,0.976,0.955,0.922,0.936
74.5,2.319e+03,1.481e+02,1.122e+01,2.479e+03,,0.982,0.976,0.954,0.919,0.935
76.0,2.418e+03,1.795e+02,1.075e+01,2.608e+03,,0.982,0.975,0.952,0.917,0.933
77.5,2.557e+03,2.193e+02,1.082e+01,2.787e+03,,0.981,0.974,0.951,0.915,0.931
79.0,2.683e+03,2.759e+02,1.156e+01,2.971e+03,,0.981,0.974,0.950,0.912,0.929
80.5,2.824e+03,3.609e+02,1.267e+01,3.197e+03,,0.980,0.973,0.948,0.910,0.927
82.0,2.963e+03,4.258e+02,1.236e+01,3.401e+03,,0.980,0.972,0.947,0.907,0.925
83.5,3.120e+03,4.910e+02,1.459e+01,3.625e+03,,0.979,0.972,0.945,0.905,0.923
84.9,3.297e+03,6.059e+02,1.560e+01,3.918e+03,,0.979,0.971,0.944,0.902,0.921
86.4,3.533e+03,7.553e+02,1.749e+01,4.306e+03,,0.978,0.970,0.942,0.900,0.919
87.9,3.800e+03,8.792e+02,1.888e+01,4.698e+03,,0.978,0.970,0.941,0.897,0.917
89.4,4.084e+03,8.215e+02,1.866e+01,4.924e+03,,0.977,0.969,0.939,0.894,0.915
90.9,4.376e+03,9.109e+02,1.993e+01,5.307e+03,,0.977,0.968,0.938,0.892,0.913
